criteria,cost_of_bike,assistance,segment,rating,price,provider,rank,location,product_variant,month
Fahrrad,12000,Yes,Price-performance recommendation,1.3,28.11,Schutzgarant,1,bayern,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,12000,Yes,Performance recommendation,1.0,29.35,Janitos,2,bayern,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,12000,Yes,None,1.1,30.67,Schutzgarant,3,bayern,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,12000,Yes,None,1.0,33.15,AndSafe,4,bayern,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,12000,Yes,None,1.2,35.0,GVO,5,bayern,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,12000,Yes,None,1.0,38.25,Ammerländer,6,bayern,Excellent,July
Fahrrad,12000,Yes,None,1.0,38.91,Ammerländer,7,bayern,Excellent Plus,July
Fahrrad,11000,Yes,Price-performance recommendation,1.3,25.77,Schutzgarant,1,bayern,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,11000,Yes,Performance recommendation,1.0,26.93,Janitos,2,bayern,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,11000,Yes,None,1.1,28.11,Schutzgarant,3,bayern,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,11000,Yes,None,1.0,30.36,AndSafe,4,bayern,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,11000,Yes,None,1.2,33.33,GVO,5,bayern,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,11000,Yes,Cheap,1.0,38.25,Ammerländer,6,bayern,Excellent,July
Fahrrad,11000,Yes,None,1.0,38.91,Ammerländer,7,bayern,Excellent Plus,July
Fahrrad,10000,Yes,Cheap,1.5,18.96,Hepster,1,bayern,Basic,July
Fahrrad,10000,Yes,None,1.5,21.68,BerlinDirect,2,bayern,Classic Rundum,July
Fahrrad,10000,Yes,None,1.3,22.08,GVO,3,bayern,"TOP-VIT Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,10000,Yes,None,1.3,22.08,Schutzgarant,4,bayern,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,10000,Yes,Price-performance recommendation,1.0,22.52,AndSafe,5,bayern,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,10000,Yes,None,1.7,24.07,MVK,6,bayern,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
